Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",-322.370450,-107.213400,-135.000000,bottom
"C2","0.1uF","C_0603_1608Metric",-328.085450,-112.928400,-135.000000,bottom
"C3","0.1uF","C_0603_1608Metric",-339.159850,-107.797600,-45.000000,bottom
"C4","0.1uF","C_0603_1608Metric",-335.248250,-96.824800,45.000000,bottom
"C5","10uF","C_0603_1608Metric",-325.621650,-97.282000,135.000000,bottom
"C6","1uF","C_0603_1608Metric",-324.935850,-98.729800,135.000000,bottom
"C7","22pF","C_0603_1608Metric",-343.089050,-95.529400,90.000000,bottom
"C8","22pF","C_0603_1608Metric",-337.229450,-95.529400,-90.000000,bottom
"F1","Polyfuse","Fuse_0805_2012Metric",-146.373450,-38.354000,90.000000,bottom
"FB1","FerriteBead_Small","L_0805_2012Metric",-154.628450,-38.404800,-90.000000,bottom
"ISP1","ISP_Header","PinHeader_2x03_P2.54mm_Vertical",-325.781399,-93.784149,-45.000000,bottom
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",-150.018750,-31.317000,0.000000,bottom
"KD1","BAV70","SOT-23",-59.531250,-42.862500,-90.000000,bottom
"KD2","BAV70","SOT-23",-107.156250,-42.862500,-90.000000,bottom
"KD3","BAV70","SOT-23",-142.875000,-42.862500,-90.000000,bottom
"KD4","BAV70","SOT-23",-192.881250,-42.862500,-90.000000,bottom
"KD5","BAV70","SOT-23",-235.743750,-42.862500,-90.000000,bottom
"KD6","BAV70","SOT-23",-278.606250,-42.862500,-90.000000,bottom
"KD7","BAV70","SOT-23",-319.087500,-42.862500,-90.000000,bottom
"KD8","BAV70","SOT-23",-359.568750,-42.862500,-90.000000,bottom
"KD9","BAV70","SOT-23",-50.006250,-66.675000,-90.000000,bottom
"KD10","BAV70","SOT-23",-88.106250,-66.675000,-90.000000,bottom
"KD11","BAV70","SOT-23",-126.206250,-66.675000,-90.000000,bottom
"KD12","BAV70","SOT-23",-164.306250,-66.675000,-90.000000,bottom
"KD13","BAV70","SOT-23",-202.406250,-66.675000,-90.000000,bottom
"KD14","BAV70","SOT-23",-240.506250,-66.675000,-90.000000,bottom
"KD15","BAV70","SOT-23",-278.606250,-66.675000,-90.000000,bottom
"KD16","BAV70","SOT-23",-333.216250,-66.675000,-90.000000,bottom
"KD17","BAV70","SOT-23",-57.150000,-85.725000,-90.000000,bottom
"KD18","BAV70","SOT-23",-97.631250,-85.725000,-90.000000,bottom
"KD19","BAV70","SOT-23",-135.731250,-85.725000,-90.000000,bottom
"KD20","BAV70","SOT-23",-173.831250,-85.725000,-90.000000,bottom
"KD21","BAV70","SOT-23",-211.931250,-85.725000,-90.000000,bottom
"KD22","BAV70","SOT-23",-250.031250,-85.725000,-90.000000,bottom
"KD23","BAV70","SOT-23",-285.750000,-85.725000,-90.000000,bottom
"KD24","BAV70","SOT-23",-340.518750,-83.343750,-90.000000,bottom
"KD25","BAV70","SOT-23",-61.912500,-104.775000,-90.000000,bottom
"KD26","BAV70","SOT-23",-102.393750,-104.775000,-90.000000,bottom
"KD27","BAV70","SOT-23",-140.493750,-104.775000,-90.000000,bottom
"KD28","BAV70","SOT-23",-178.593750,-104.775000,-90.000000,bottom
"KD29","BAV70","SOT-23",-216.693750,-104.775000,-90.000000,bottom
"KD30","BAV70","SOT-23",-254.793750,-104.775000,-90.000000,bottom
"KD31","BAV70","SOT-23",-302.418750,-104.775000,-90.000000,bottom
"KD32","BAV70","SOT-23",-359.568750,-140.493750,-90.000000,bottom
"KD33","BAV70","SOT-23",-54.768750,-123.825000,-90.000000,bottom
"KD34","BAV70","SOT-23",-92.868750,-121.443750,-90.000000,bottom
"KD35","BAV70","SOT-23",-130.968750,-121.443750,-90.000000,bottom
"KD36","BAV70","SOT-23",-169.068750,-121.443750,-90.000000,bottom
"KD37","BAV70","SOT-23",-207.168750,-121.443750,-90.000000,bottom
"KD38","BAV70","SOT-23",-245.268750,-121.443750,-90.000000,bottom
"KD39","BAV70","SOT-23",-269.081250,-121.443750,-90.000000,bottom
"KD40","BAV70","SOT-23",-358.616250,-123.825000,-90.000000,bottom
"KD41","BAV70","SOT-23",-57.150000,-142.875000,-90.000000,bottom
"KD42","BAV70","SOT-23",-104.775000,-142.875000,-90.000000,bottom
"KD43","BAV70","SOT-23",-183.356250,-140.493750,-90.000000,bottom
"KD44","BAV70","SOT-23",-242.887500,-142.875000,-90.000000,bottom
"KD45","BAV70","SOT-23",-290.512500,-142.875000,-90.000000,bottom
"KD46","BAV70","SOT-23",-340.518750,-140.493750,-90.000000,bottom
"R1","5.1k","R_0603_1608Metric",-148.227650,-38.150800,90.000000,bottom
"R2","5.1k","R_0603_1608Metric",-151.707450,-38.125400,-90.000000,bottom
"R3","10k","R_0603_1608Metric",-335.299050,-93.091000,90.000000,bottom
"R4","22","R_0603_1608Metric",-322.126450,-97.249000,-45.000000,bottom
"R5","22","R_0603_1608Metric",-321.076450,-98.299000,135.000000,bottom
"R6","10k","R_0603_1608Metric",-333.775050,-113.233200,-45.000000,bottom
"SW1","SW_Push","SW_SPST_TL3342",-340.518750,-90.487500,180.000000,bottom
"U1","ATmega32U4-A","TQFP-44_10x10mm_P0.8mm",-331.057250,-104.267000,-45.000000,bottom
"U2","USBLC6-2P6","SOT-666",-149.497650,-41.173400,-90.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",-340.091850,-95.529400,0.000000,bottom
