Ref,Val,Package,PosX,PosY,Rot,Side
">NAME",">VALUE","Mx_Stab_225",295.275000,-100.012500,180.000000,top
">NAME",">VALUE","Mx_Stab_275",290.512500,-119.062500,0.000000,top
"K1","Key","SW_Cherry_MX_1.00u_PCB",40.481250,-38.100000,0.000000,top
"K2","Key","SW_Cherry_MX_1.00u_PCB",78.581250,-38.100000,0.000000,top
"K3","Key","SW_Cherry_MX_1.00u_PCB",97.631250,-38.100000,0.000000,top
"K4","Key","SW_Cherry_MX_1.00u_PCB",116.681250,-38.100000,0.000000,top
"K5","Key","SW_Cherry_MX_1.00u_PCB",135.731250,-38.100000,0.000000,top
"K6","Key","SW_Cherry_MX_1.00u_PCB",164.306250,-38.100000,0.000000,top
"K7","Key","SW_Cherry_MX_1.00u_PCB",183.356250,-38.100000,0.000000,top
"K8","Key","SW_Cherry_MX_1.00u_PCB",202.406250,-38.100000,0.000000,top
"K9","Key","SW_Cherry_MX_1.00u_PCB",221.456250,-38.100000,0.000000,top
"K10","Key","SW_Cherry_MX_1.00u_PCB",250.031250,-38.100000,0.000000,top
"K11","Key","SW_Cherry_MX_1.00u_PCB",269.081250,-38.100000,0.000000,top
"K12","Key","SW_Cherry_MX_1.00u_PCB",288.131250,-38.100000,0.000000,top
"K13","Key","SW_Cherry_MX_1.00u_PCB",307.181250,-38.100000,0.000000,top
"K14","Key","SW_Cherry_MX_1.00u_PCB",330.993750,-38.100000,0.000000,top
"K15","Key","SW_Cherry_MX_1.00u_PCB",350.043750,-38.100000,0.000000,top
"K16","Key","SW_Cherry_MX_1.00u_PCB",369.093750,-38.100000,0.000000,top
"K17","Key","SW_Cherry_MX_1.00u_PCB",40.481250,-61.912500,0.000000,top
"K18","Key","SW_Cherry_MX_1.00u_PCB",59.531250,-61.912500,0.000000,top
"K19","Key","SW_Cherry_MX_1.00u_PCB",78.581250,-61.912500,0.000000,top
"K20","Key","SW_Cherry_MX_1.00u_PCB",97.631250,-61.912500,0.000000,top
"K21","Key","SW_Cherry_MX_1.00u_PCB",116.681250,-61.912500,0.000000,top
"K22","Key","SW_Cherry_MX_1.00u_PCB",135.731250,-61.912500,0.000000,top
"K23","Key","SW_Cherry_MX_1.00u_PCB",154.781250,-61.912500,0.000000,top
"K24","Key","SW_Cherry_MX_1.00u_PCB",173.831250,-61.912500,0.000000,top
"K25","Key","SW_Cherry_MX_1.00u_PCB",192.881250,-61.912500,0.000000,top
"K26","Key","SW_Cherry_MX_1.00u_PCB",211.931250,-61.912500,0.000000,top
"K27","Key","SW_Cherry_MX_1.00u_PCB",230.981250,-61.912500,0.000000,top
"K28","Key","SW_Cherry_MX_1.00u_PCB",250.031250,-61.912500,0.000000,top
"K29","Key","SW_Cherry_MX_1.00u_PCB",269.081250,-61.912500,0.000000,top
"K30","Key","SW_Cherry_MX_1.00u_PCB",288.131250,-61.912500,0.000000,top
"K30a1","Key","SW_Cherry_MX_2.00u_PCB_NoStab",297.656250,-61.912500,0.000000,top
"K31","Key","SW_Cherry_MX_1.00u_PCB",307.181250,-61.912500,0.000000,top
"K32","Key","SW_Cherry_MX_1.00u_PCB",330.993750,-61.912500,0.000000,top
"K33","Key","SW_Cherry_MX_1.00u_PCB",350.043750,-61.912500,0.000000,top
"K34","Key","SW_Cherry_MX_1.50u_PCB",45.243750,-80.962500,0.000000,top
"K35","Key","SW_Cherry_MX_1.00u_PCB",69.056250,-80.962500,0.000000,top
"K36","Key","SW_Cherry_MX_1.00u_PCB",88.106250,-80.962500,0.000000,top
"K37","Key","SW_Cherry_MX_1.00u_PCB",107.156250,-80.962500,0.000000,top
"K38","Key","SW_Cherry_MX_1.00u_PCB",126.206250,-80.962500,0.000000,top
"K39","Key","SW_Cherry_MX_1.00u_PCB",145.256250,-80.962500,0.000000,top
"K40","Key","SW_Cherry_MX_1.00u_PCB",164.306250,-80.962500,0.000000,top
"K41","Key","SW_Cherry_MX_1.00u_PCB",183.356250,-80.962500,0.000000,top
"K42","Key","SW_Cherry_MX_1.00u_PCB",202.406250,-80.962500,0.000000,top
"K43","Key","SW_Cherry_MX_1.00u_PCB",221.456250,-80.962500,0.000000,top
"K44","Key","SW_Cherry_MX_1.00u_PCB",240.506250,-80.962500,0.000000,top
"K45","Key","SW_Cherry_MX_1.00u_PCB",259.556250,-80.962500,0.000000,top
"K46","Key","SW_Cherry_MX_1.00u_PCB",278.606250,-80.962500,0.000000,top
"K47","Key","SW_Cherry_MX_1.50u_PCB",302.418750,-80.962500,180.000000,top
"K47a1","Key","SW_Cherry_MX_1.00u_PCB",304.800000,-90.493750,0.000000,top
"K48","Key","SW_Cherry_MX_1.00u_PCB",330.993750,-80.962500,0.000000,top
"K49","Key","SW_Cherry_MX_1.00u_PCB",350.043750,-80.962500,0.000000,top
"K50","Key","SW_Cherry_MX_1.00u_PCB",369.093750,-80.962500,0.000000,top
"K51","Key","SW_Cherry_MX_1.75u_PCB",47.625000,-100.012500,0.000000,top
"K51a1","Key","SW_Cherry_MX_1.25u_PCB",42.862500,-100.012500,0.000000,top
"K52","Key","SW_Cherry_MX_1.00u_PCB",73.818750,-100.012500,0.000000,top
"K53","Key","SW_Cherry_MX_1.00u_PCB",92.868750,-100.012500,0.000000,top
"K54","Key","SW_Cherry_MX_1.00u_PCB",111.918750,-100.012500,0.000000,top
"K55","Key","SW_Cherry_MX_1.00u_PCB",130.968750,-100.012500,0.000000,top
"K56","Key","SW_Cherry_MX_1.00u_PCB",150.018750,-100.012500,0.000000,top
"K57","Key","SW_Cherry_MX_1.00u_PCB",169.068750,-100.012500,0.000000,top
"K58","Key","SW_Cherry_MX_1.00u_PCB",188.118750,-100.012500,0.000000,top
"K59","Key","SW_Cherry_MX_1.00u_PCB",207.168750,-100.012500,0.000000,top
"K60","Key","SW_Cherry_MX_1.00u_PCB",226.218750,-100.012500,0.000000,top
"K61","Key","SW_Cherry_MX_1.00u_PCB",245.268750,-100.012500,0.000000,top
"K62","Key","SW_Cherry_MX_1.00u_PCB",264.318750,-100.012500,0.000000,top
"K63","Key","SW_Cherry_MX_1.00u_PCB",283.368750,-100.012500,0.000000,top
"K63a1","Key","SW_Cherry_MX_1.00u_PCB",295.275000,-100.012500,0.000000,top
"K64","Key","SW_Cherry_MX_1.00u_PCB",369.093750,-61.912500,0.000000,top
"K65","Key","SW_Cherry_MX_1.25u_PCB",42.862500,-119.062500,0.000000,top
"K66","Key","SW_Cherry_MX_1.00u_PCB",64.293750,-119.062500,0.000000,top
"K66a1","Key","SW_Cherry_MX_2.25u_PCB",52.387500,-119.062500,0.000000,top
"K67","Key","SW_Cherry_MX_1.00u_PCB",83.343750,-119.062500,0.000000,top
"K68","Key","SW_Cherry_MX_1.00u_PCB",102.393750,-119.062500,0.000000,top
"K69","Key","SW_Cherry_MX_1.00u_PCB",121.443750,-119.062500,0.000000,top
"K70","Key","SW_Cherry_MX_1.00u_PCB",140.493750,-119.062500,0.000000,top
"K71","Key","SW_Cherry_MX_1.00u_PCB",159.543750,-119.062500,0.000000,top
"K72","Key","SW_Cherry_MX_1.00u_PCB",178.593750,-119.062500,0.000000,top
"K73","Key","SW_Cherry_MX_1.00u_PCB",197.643750,-119.062500,0.000000,top
"K74","Key","SW_Cherry_MX_1.00u_PCB",216.693750,-119.062500,0.000000,top
"K75","Key","SW_Cherry_MX_1.00u_PCB",235.743750,-119.062500,0.000000,top
"K76","Key","SW_Cherry_MX_1.00u_PCB",254.793750,-119.062500,0.000000,top
"K77","Key","SW_Cherry_MX_1.00u_PCB",280.987500,-119.062500,0.000000,top
"K77a1","Key","SW_Cherry_MX_1.00u_PCB",290.512500,-119.062500,0.000000,top
"K78","Key","SW_Cherry_MX_1.00u_PCB",307.181250,-119.062500,0.000000,top
"K79","Key","SW_Cherry_MX_1.00u_PCB",350.043750,-119.062500,0.000000,top
"K80","Key","SW_Cherry_MX_1.50u_PCB",45.243750,-138.112500,0.000000,top
